Кем ты был бы в прошлой жизни?
Что ты больше всего ценишь в себе? |Внешность|Крутой характер|Смелость|Ум и эрудицию|Терпение и трудолюбие|Способность много пить и не пьянеть
Чем ты дорожишь?|Авторитетом среди коллег и друзей|Репутацией|Честью|Причёской и маникюром|Памятью|Жизнью
Мог бы ты прыгнуть с парашютом?|Да, сто раз прыгал, обожаю|Если это будет нужно|Если начальство скажет|Нет, никогда|Разок прыгнул бы из любопытства|Да я десантник!
Что из этого ты съешь с удовольствием? |Суши|Квашеную капусту|Десяток-другой профитролей|Дюжину устриц|Бургер со шпинатом|Санкционного сырку
Что из этого могло бы быть твоим девизом?|«Ученье — свет, а неученье — тьма»|«Когда я ем, я глух и нем»|«Долг платежом красен»|«Не родись красивой»|«Грабь награбленное»|«Не боги горшки обжигают»
На кого из этих людей ты хотел бы быть похож?|На Спартака|На Робина Гуда|На Эраста Фандорина|На Мэрилин Монро|На Леонардо да Винчи|На Минина или на Пожарского
Что ты больше всего ненавидишь?|Просыпаться по утрам|Неучей|Лжецов и трусов|Дурацкие законы|Замужних женщин|Своего начальника
В какую эпоху ты хотел бы жить? |Античность|Возрождение|Средневековье|Новое время|В годы Смуты в России|В эпоху модерна
Твой любимый цвет? |Красный|Чёрный|Белый|Зелёный|Жёлтый|Синий
https://diletant.media/personality_test/25943484/
